,Service_Year,OMH_Region_Code,OMH_Region_Label,County_Label,Age_Group,Rate_Code_Group,Recipient_Count_By_County,Count_Of_Recipients_By_Rate_Code_Group_And_County,Units_Total,Paid_Claim_Total
51,2016,1,Western NY,Erie,ADULT,Psychiatric Inpatient,10959,1038,8782,7576280
52,2016,1,Western NY,Erie,ADULT,Psychiatric Inpatient OMH,10959,62,14163,17374689
53,2016,1,Western NY,Erie,ADULT,"Targeted Case Management (ICM, BCM, SCM)",10959,10,38,13960
54,2016,1,Western NY,Erie,CHILD,Clinic Treatment,5549,5019,51495,6558451
55,2016,1,Western NY,Erie,CHILD,Community Residence,5549,45,287,882017
56,2016,1,Western NY,Erie,CHILD,Comprehensive Psychiatric Emergency Program,5549,122,192,97589
57,2016,1,Western NY,Erie,CHILD,Day Treatment,5549,101,9103,1751849
58,2016,1,Western NY,Erie,CHILD,Health Home,5549,2,7,3045
59,2016,1,Western NY,Erie,CHILD,Home and Community Based Services Waiver (HCBS),5549,161,834,2107404
60,2016,1,Western NY,Erie,CHILD,Partial Hospitalization,5549,3,82,15681
61,2016,1,Western NY,Erie,CHILD,Psychiatric Inpatient,5549,108,1468,1122255
62,2016,1,Western NY,Erie,CHILD,Psychiatric Inpatient OMH,5549,189,11775,19152182
63,2016,1,Western NY,Erie,CHILD,Residential Treatment Facility,5549,99,15965,7437898
64,2016,1,Western NY,Erie,CHILD,"Targeted Case Management (ICM, BCM, SCM)",5549,277,1130,554516
65,2016,1,Western NY,Genesee,ADULT,Clinic Treatment,648,517,3806,422268
66,2016,1,Western NY,Genesee,ADULT,Community Residence,648,74,693,1827701
67,2016,1,Western NY,Genesee,ADULT,Continuing Day Treatment,648,95,7346,383929
68,2016,1,Western NY,Genesee,ADULT,Health Home,648,24,216,75384
69,2016,1,Western NY,Genesee,ADULT,"Targeted Case Management (ICM, BCM, SCM)",648,2,9,3194
70,2016,1,Western NY,Genesee,CHILD,Clinic Treatment,173,166,1155,128768
71,2016,1,Western NY,Genesee,CHILD,Community Residence,173,2,2,778
72,2016,1,Western NY,Genesee,CHILD,"Targeted Case Management (ICM, BCM, SCM)",173,11,35,12416
73,2016,1,Western NY,Livingston,ADULT,Clinic Treatment,576,551,3023,277288
74,2016,1,Western NY,Livingston,ADULT,Health Home,576,26,56,25088
75,2016,1,Western NY,Livingston,ADULT,"Targeted Case Management (ICM, BCM, SCM)",576,2,8,2837
76,2016,1,Western NY,Livingston,CHILD,Clinic Treatment,245,229,1536,169681
77,2016,1,Western NY,Livingston,CHILD,"Targeted Case Management (ICM, BCM, SCM)",245,23,130,46126
78,2016,1,Western NY,Monroe,ADULT,Assertive Community Treatment,10855,137,848,1173561
79,2016,1,Western NY,Monroe,ADULT,Clinic Treatment,10855,8798,67291,5168105
80,2016,1,Western NY,Monroe,ADULT,Community Residence,10855,374,3441,9045672
81,2016,1,Western NY,Monroe,ADULT,Comprehensive Psychiatric Emergency Program,10855,800,1247,938517
82,2016,1,Western NY,Monroe,ADULT,Health Home,10855,1104,7942,3526337
83,2016,1,Western NY,Monroe,ADULT,Partial Hospitalization,10855,224,1497,153907
84,2016,1,Western NY,Monroe,ADULT,Personalized Recovery Oriented Services,10855,1149,8939,3539987
85,2016,1,Western NY,Monroe,ADULT,Psychiatric Inpatient,10855,668,6430,5001047
86,2016,1,Western NY,Monroe,ADULT,Psychiatric Inpatient OMH,10855,27,7693,9470936
87,2016,1,Western NY,Monroe,ADULT,"Targeted Case Management (ICM, BCM, SCM)",10855,19,107,51061
88,2016,1,Western NY,Monroe,CHILD,Clinic Treatment,2862,2091,17619,2138698
89,2016,1,Western NY,Monroe,CHILD,Community Residence,2862,30,177,537680
90,2016,1,Western NY,Monroe,CHILD,Comprehensive Psychiatric Emergency Program,2862,155,232,215788
91,2016,1,Western NY,Monroe,CHILD,Day Treatment,2862,231,27838,2533350
92,2016,1,Western NY,Monroe,CHILD,Home and Community Based Services Waiver (HCBS),2862,238,20640,3684412
93,2016,1,Western NY,Monroe,CHILD,Partial Hospitalization,2862,143,2094,304591
94,2016,1,Western NY,Monroe,CHILD,Psychiatric Inpatient,2862,79,1186,1023825
95,2016,1,Western NY,Monroe,CHILD,Residential Treatment Facility,2862,128,22038,11469546
96,2016,1,Western NY,Monroe,CHILD,"Targeted Case Management (ICM, BCM, SCM)",2862,299,1789,855917
97,2016,1,Western NY,Niagara,ADULT,Clinic Treatment,3260,2534,19322,1757219
98,2016,1,Western NY,Niagara,ADULT,Community Residence,3260,96,878,1668358
99,2016,1,Western NY,Niagara,ADULT,Continuing Day Treatment,3260,59,3684,163902
100,2016,1,Western NY,Niagara,ADULT,Health Home,3260,621,3881,1232106
101,2016,1,Western NY,Niagara,ADULT,Personalized Recovery Oriented Services,3260,254,2443,968790
102,2016,1,Western NY,Niagara,ADULT,Psychiatric Inpatient,3260,454,2217,1536546
103,2016,1,Western NY,Niagara,ADULT,"Targeted Case Management (ICM, BCM, SCM)",3260,8,32,17751
104,2016,1,Western NY,Niagara,CHILD,Clinic Treatment,1303,1188,12804,1540361
105,2016,1,Western NY,Niagara,CHILD,Community Residence,1303,17,71,666130
106,2016,1,Western NY,Niagara,CHILD,Health Home,1303,8,31,9403
107,2016,1,Western NY,Niagara,CHILD,Psychiatric Inpatient,1303,42,629,344551
108,2016,1,Western NY,Niagara,CHILD,"Targeted Case Management (ICM, BCM, SCM)",1303,129,769,379682
109,2016,1,Western NY,Ontario,ADULT,Assertive Community Treatment,1320,94,376,506814
110,2016,1,Western NY,Ontario,ADULT,Clinic Treatment,1320,833,6992,575221
111,2016,1,Western NY,Ontario,ADULT,Community Residence,1320,83,514,1751385
112,2016,1,Western NY,Ontario,ADULT,Comprehensive Psychiatric Emergency Program,1320,244,388,111986
113,2016,1,Western NY,Ontario,ADULT,Health Home,1320,224,1360,434330
114,2016,1,Western NY,Ontario,ADULT,Psychiatric Inpatient,1320,105,384,308500
115,2016,1,Western NY,Ontario,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1320,1,1,591
116,2016,1,Western NY,Ontario,CHILD,Clinic Treatment,157,91,639,80421
117,2016,1,Western NY,Ontario,CHILD,Community Residence,157,22,109,929887
118,2016,1,Western NY,Ontario,CHILD,Comprehensive Psychiatric Emergency Program,157,25,36,19731
119,2016,1,Western NY,Ontario,CHILD,"Targeted Case Management (ICM, BCM, SCM)",157,38,195,88606
120,2016,1,Western NY,Orleans,ADULT,Clinic Treatment,325,292,1722,212710
121,2016,1,Western NY,Orleans,ADULT,Community Residence,325,14,164,446009
122,2016,1,Western NY,Orleans,ADULT,Health Home,325,36,234,96701
123,2016,1,Western NY,Orleans,ADULT,"Targeted Case Management (ICM, BCM, SCM)",325,2,8,2840
124,2016,1,Western NY,Orleans,CHILD,Clinic Treatment,126,97,505,61134
125,2016,1,Western NY,Orleans,CHILD,"Targeted Case Management (ICM, BCM, SCM)",126,36,232,82308
126,2016,1,Western NY,Schuyler,ADULT,Assertive Community Treatment,267,46,267,398354
127,2016,1,Western NY,Schuyler,ADULT,Clinic Treatment,267,222,1705,191210
128,2016,1,Western NY,Schuyler,ADULT,Health Home,267,4,38,13262
129,2016,1,Western NY,Schuyler,CHILD,Clinic Treatment,112,96,747,106469
130,2016,1,Western NY,Schuyler,CHILD,Health Home,112,1,1,349
131,2016,1,Western NY,Schuyler,CHILD,"Targeted Case Management (ICM, BCM, SCM)",112,28,224,102457
132,2016,1,Western NY,Seneca,ADULT,Clinic Treatment,494,468,4605,593785
133,2016,1,Western NY,Seneca,ADULT,Community Residence,494,51,372,1396215
134,2016,1,Western NY,Seneca,CHILD,Clinic Treatment,118,110,919,132674
135,2016,1,Western NY,Seneca,CHILD,Community Residence,118,4,31,10748
136,2016,1,Western NY,Seneca,CHILD,"Targeted Case Management (ICM, BCM, SCM)",118,6,33,11713
137,2016,1,Western NY,Steuben,ADULT,Clinic Treatment,863,733,5649,680463
138,2016,1,Western NY,Steuben,ADULT,Community Residence,863,97,670,1451912
139,2016,1,Western NY,Steuben,ADULT,Health Home,863,60,251,111815
140,2016,1,Western NY,Steuben,ADULT,Personalized Recovery Oriented Services,863,87,1156,382447
141,2016,1,Western NY,Steuben,ADULT,"Targeted Case Management (ICM, BCM, SCM)",863,4,27,12894
142,2016,1,Western NY,Steuben,CHILD,Clinic Treatment,539,344,3381,494588
143,2016,1,Western NY,Steuben,CHILD,Community Residence,539,18,86,800591
144,2016,1,Western NY,Steuben,CHILD,Health Home,539,2,3,1336
145,2016,1,Western NY,Steuben,CHILD,Home and Community Based Services Waiver (HCBS),539,162,8316,2742498
146,2016,1,Western NY,Steuben,CHILD,"Targeted Case Management (ICM, BCM, SCM)",539,79,422,180757
147,2016,1,Western NY,Tioga,ADULT,Clinic Treatment,251,243,3060,398443
148,2016,1,Western NY,Tioga,ADULT,Community Residence,251,12,107,312641
149,2016,1,Western NY,Tioga,ADULT,Health Home,251,26,187,81657
150,2016,1,Western NY,Tioga,CHILD,Clinic Treatment,95,95,941,141457
151,2016,1,Western NY,Tompkins,ADULT,Clinic Treatment,1078,943,9034,950918
152,2016,1,Western NY,Tompkins,ADULT,Community Residence,1078,74,461,1204923
153,2016,1,Western NY,Tompkins,ADULT,Continuing Day Treatment,1078,43,830,24130
154,2016,1,Western NY,Tompkins,ADULT,Health Home,1078,109,803,345418
155,2016,1,Western NY,Tompkins,ADULT,Personalized Recovery Oriented Services,1078,37,175,54580
156,2016,1,Western NY,Tompkins,ADULT,Psychiatric Inpatient,1078,121,597,624457
157,2016,1,Western NY,Tompkins,CHILD,Clinic Treatment,305,206,1860,200211
158,2016,1,Western NY,Tompkins,CHILD,Community Residence,305,6,18,8445
159,2016,1,Western NY,Tompkins,CHILD,Day Treatment,305,80,9922,889712
160,2016,1,Western NY,Tompkins,CHILD,Psychiatric Inpatient,305,18,170,155772
161,2016,1,Western NY,Tompkins,CHILD,"Targeted Case Management (ICM, BCM, SCM)",305,6,22,13018
162,2016,1,Western NY,Wayne,ADULT,Clinic Treatment,863,786,6405,639835
163,2016,1,Western NY,Wayne,ADULT,Community Residence,863,17,139,367884
164,2016,1,Western NY,Wayne,ADULT,Health Home,863,11,93,43158
165,2016,1,Western NY,Wayne,ADULT,Psychiatric Inpatient,863,76,783,591474
166,2016,1,Western NY,Wayne,ADULT,"Targeted Case Management (ICM, BCM, SCM)",863,2,8,4736
167,2016,1,Western NY,Wayne,CHILD,Clinic Treatment,353,331,3186,425518
168,2016,1,Western NY,Wayne,CHILD,Community Residence,353,17,96,920446
169,2016,1,Western NY,Wayne,CHILD,"Targeted Case Management (ICM, BCM, SCM)",353,28,168,92280
170,2016,1,Western NY,Wyoming,ADULT,Clinic Treatment,511,416,4339,362875
171,2016,1,Western NY,Wyoming,ADULT,Community Residence,511,19,112,291162
172,2016,1,Western NY,Wyoming,ADULT,Personalized Recovery Oriented Services,511,79,916,340425
173,2016,1,Western NY,Wyoming,ADULT,Psychiatric Inpatient,511,67,590,436214
174,2016,1,Western NY,Wyoming,ADULT,"Targeted Case Management (ICM, BCM, SCM)",511,3,4,1420
175,2016,1,Western NY,Wyoming,CHILD,Clinic Treatment,149,133,909,91044
176,2016,1,Western NY,Wyoming,CHILD,Community Residence,149,2,10,3890
177,2016,1,Western NY,Wyoming,CHILD,"Targeted Case Management (ICM, BCM, SCM)",149,24,135,47875
178,2016,1,Western NY,Yates,ADULT,Clinic Treatment,199,161,1016,85403
179,2016,1,Western NY,Yates,ADULT,Health Home,199,10,56,19544
180,2016,1,Western NY,Yates,ADULT,Psychiatric Inpatient,199,39,104,103797
181,2016,1,Western NY,Yates,CHILD,Clinic Treatment,129,88,821,99811
182,2016,1,Western NY,Yates,CHILD,Day Treatment,129,45,4887,1739616
183,2016,2,Central NY,Broome,ADULT,Assertive Community Treatment,2597,66,541,776720
184,2016,2,Central NY,Broome,ADULT,Clinic Treatment,2597,1619,11774,1502597
185,2016,2,Central NY,Broome,ADULT,Community Residence,2597,77,535,1348731
186,2016,2,Central NY,Broome,ADULT,Comprehensive Psychiatric Emergency Program,2597,478,927,339914
187,2016,2,Central NY,Broome,ADULT,Health Home,2597,370,2033,835489
188,2016,2,Central NY,Broome,ADULT,Personalized Recovery Oriented Services,2597,109,1166,489356
189,2016,2,Central NY,Broome,ADULT,Psychiatric Inpatient,2597,464,4476,3284503
190,2016,2,Central NY,Broome,ADULT,Psychiatric Inpatient OMH,2597,28,4262,5306679
191,2016,2,Central NY,Broome,ADULT,"Targeted Case Management (ICM, BCM, SCM)",2597,4,19,11245
192,2016,2,Central NY,Broome,CHILD,Clinic Treatment,898,530,5108,892718
193,2016,2,Central NY,Broome,CHILD,Community Residence,898,34,245,756355
194,2016,2,Central NY,Broome,CHILD,Comprehensive Psychiatric Emergency Program,898,172,401,264917
195,2016,2,Central NY,Broome,CHILD,Day Treatment,898,40,4091,786898
196,2016,2,Central NY,Broome,CHILD,Home and Community Based Services Waiver (HCBS),898,64,835,856537
197,2016,2,Central NY,Broome,CHILD,Psychiatric Inpatient,898,2,48,35648
198,2016,2,Central NY,Broome,CHILD,Psychiatric Inpatient OMH,898,188,4470,6884073
199,2016,2,Central NY,Broome,CHILD,"Targeted Case Management (ICM, BCM, SCM)",898,164,884,473578
200,2016,2,Central NY,Cayuga,ADULT,Clinic Treatment,1015,874,7337,836605
201,2016,2,Central NY,Cayuga,ADULT,Community Residence,1015,62,438,893333
202,2016,2,Central NY,Cayuga,ADULT,Health Home,1015,91,585,303831
203,2016,2,Central NY,Cayuga,ADULT,Personalized Recovery Oriented Services,1015,96,500,216072
204,2016,2,Central NY,Cayuga,ADULT,Psychiatric Inpatient,1015,123,1347,786993
205,2016,2,Central NY,Cayuga,CHILD,Clinic Treatment,408,293,3049,390956
206,2016,2,Central NY,Cayuga,CHILD,Community Residence,408,6,34,15302
207,2016,2,Central NY,Cayuga,CHILD,Day Treatment,408,37,4075,375199
208,2016,2,Central NY,Cayuga,CHILD,Health Home,408,1,3,1558
209,2016,2,Central NY,Cayuga,CHILD,Psychiatric Inpatient,408,1,4,0
210,2016,2,Central NY,Cayuga,CHILD,Residential Treatment Facility,408,74,14446,8171028
211,2016,2,Central NY,Cayuga,CHILD,"Targeted Case Management (ICM, BCM, SCM)",408,22,94,55554
212,2016,2,Central NY,Chenango,ADULT,Clinic Treatment,418,412,3620,373273
213,2016,2,Central NY,Chenango,ADULT,Community Residence,418,19,144,427761
214,2016,2,Central NY,Chenango,ADULT,"Targeted Case Management (ICM, BCM, SCM)",418,3,11,5090
215,2016,2,Central NY,Chenango,CHILD,Clinic Treatment,207,154,1142,147362
216,2016,2,Central NY,Chenango,CHILD,Community Residence,207,2,5,15114
217,2016,2,Central NY,Chenango,CHILD,Residential Treatment Facility,207,39,6483,3495589
218,2016,2,Central NY,Chenango,CHILD,"Targeted Case Management (ICM, BCM, SCM)",207,27,175,74423
219,2016,2,Central NY,Clinton,ADULT,Clinic Treatment,1232,971,6037,597977
220,2016,2,Central NY,Clinton,ADULT,Community Residence,1232,55,373,843022
221,2016,2,Central NY,Clinton,ADULT,Health Home,1232,101,668,290547
222,2016,2,Central NY,Clinton,ADULT,Personalized Recovery Oriented Services,1232,199,2282,719118
223,2016,2,Central NY,Clinton,ADULT,Psychiatric Inpatient,1232,111,1186,1009834
224,2016,2,Central NY,Clinton,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1232,1,2,1183
225,2016,2,Central NY,Clinton,CHILD,Clinic Treatment,778,741,9364,1021744
226,2016,2,Central NY,Clinton,CHILD,Community Residence,778,10,40,44880
227,2016,2,Central NY,Clinton,CHILD,Home and Community Based Services Waiver (HCBS),778,22,10528,503644
228,2016,2,Central NY,Clinton,CHILD,Psychiatric Inpatient,778,33,282,264531
229,2016,2,Central NY,Clinton,CHILD,"Targeted Case Management (ICM, BCM, SCM)",778,41,220,129229
230,2016,2,Central NY,Cortland,ADULT,Clinic Treatment,812,663,5754,595679
231,2016,2,Central NY,Cortland,ADULT,Community Residence,812,29,174,455626
232,2016,2,Central NY,Cortland,ADULT,Continuing Day Treatment,812,30,1982,82781
233,2016,2,Central NY,Cortland,ADULT,Health Home,812,83,386,180220
234,2016,2,Central NY,Cortland,ADULT,Psychiatric Inpatient,812,91,412,429831
235,2016,2,Central NY,Cortland,ADULT,"Targeted Case Management (ICM, BCM, SCM)",812,1,1,592
236,2016,2,Central NY,Cortland,CHILD,Clinic Treatment,311,279,3059,295715
237,2016,2,Central NY,Cortland,CHILD,Community Residence,311,2,11,23642
238,2016,2,Central NY,Cortland,CHILD,"Targeted Case Management (ICM, BCM, SCM)",311,57,308,158810
239,2016,2,Central NY,Delaware,ADULT,Clinic Treatment,429,411,2666,348328
240,2016,2,Central NY,Delaware,ADULT,Community Residence,429,27,205,637538
241,2016,2,Central NY,Delaware,ADULT,Health Home,429,36,201,87771
242,2016,2,Central NY,Delaware,CHILD,Clinic Treatment,100,87,505,64319
243,2016,2,Central NY,Delaware,CHILD,Community Residence,100,2,17,15105
244,2016,2,Central NY,Delaware,CHILD,"Targeted Case Management (ICM, BCM, SCM)",100,18,140,49668
245,2016,2,Central NY,Essex,ADULT,Clinic Treatment,232,205,1670,250022
246,2016,2,Central NY,Essex,ADULT,Health Home,232,56,264,129952
247,2016,2,Central NY,Essex,ADULT,"Targeted Case Management (ICM, BCM, SCM)",232,1,1,592
248,2016,2,Central NY,Essex,CHILD,Clinic Treatment,109,69,670,104151
249,2016,2,Central NY,Essex,CHILD,Home and Community Based Services Waiver (HCBS),109,29,205,586601
250,2016,2,Central NY,Essex,CHILD,"Targeted Case Management (ICM, BCM, SCM)",109,34,180,106513
251,2016,2,Central NY,Franklin,ADULT,Clinic Treatment,1632,1568,12005,1037244
252,2016,2,Central NY,Franklin,ADULT,Community Residence,1632,44,318,859356
253,2016,2,Central NY,Franklin,ADULT,Health Home,1632,62,476,237281
254,2016,2,Central NY,Franklin,ADULT,Psychiatric Inpatient,1632,51,230,177397
255,2016,2,Central NY,Franklin,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1632,2,14,5679
256,2016,2,Central NY,Franklin,CHILD,Clinic Treatment,384,337,2706,242405
257,2016,2,Central NY,Franklin,CHILD,Community Residence,384,20,115,1052605
258,2016,2,Central NY,Franklin,CHILD,Home and Community Based Services Waiver (HCBS),384,18,140,502836
259,2016,2,Central NY,Franklin,CHILD,"Targeted Case Management (ICM, BCM, SCM)",384,77,472,227145
260,2016,2,Central NY,Fulton,ADULT,Clinic Treatment,757,638,5990,591552
261,2016,2,Central NY,Fulton,ADULT,Community Residence,757,73,510,1349274
262,2016,2,Central NY,Fulton,ADULT,Personalized Recovery Oriented Services,757,133,1377,704390
263,2016,2,Central NY,Fulton,CHILD,Clinic Treatment,294,277,2771,308478
264,2016,2,Central NY,Fulton,CHILD,Community Residence,294,1,10,33883
265,2016,2,Central NY,Fulton,CHILD,Day Treatment,294,19,1468,109469
266,2016,2,Central NY,Herkimer,ADULT,Clinic Treatment,306,230,1363,172019
267,2016,2,Central NY,Herkimer,ADULT,Community Residence,306,41,342,851934
268,2016,2,Central NY,Herkimer,ADULT,Health Home,306,64,252,87948
269,2016,2,Central NY,Herkimer,CHILD,Clinic Treatment,80,76,539,78987
270,2016,2,Central NY,Herkimer,CHILD,Community Residence,80,3,21,21093
271,2016,2,Central NY,Herkimer,CHILD,Health Home,80,1,1,349
272,2016,2,Central NY,Jefferson,ADULT,Clinic Treatment,1138,935,6728,619209
273,2016,2,Central NY,Jefferson,ADULT,Community Residence,1138,96,699,1572234
274,2016,2,Central NY,Jefferson,ADULT,Health Home,1138,109,674,299577
275,2016,2,Central NY,Jefferson,ADULT,Psychiatric Inpatient,1138,138,1372,1220738
276,2016,2,Central NY,Jefferson,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1138,4,10,4968
277,2016,2,Central NY,Jefferson,CHILD,Clinic Treatment,517,329,3049,446406
278,2016,2,Central NY,Jefferson,CHILD,Community Residence,517,33,181,942250
279,2016,2,Central NY,Jefferson,CHILD,Day Treatment,517,17,1616,573207
280,2016,2,Central NY,Jefferson,CHILD,Home and Community Based Services Waiver (HCBS),517,83,9969,1278849
281,2016,2,Central NY,Jefferson,CHILD,"Targeted Case Management (ICM, BCM, SCM)",517,154,871,473677
282,2016,2,Central NY,Lewis,ADULT,Clinic Treatment,342,342,2449,284128
283,2016,2,Central NY,Lewis,CHILD,Clinic Treatment,101,101,837,86161
284,2016,2,Central NY,Madison,ADULT,Clinic Treatment,471,298,2888,352381
285,2016,2,Central NY,Madison,ADULT,Community Residence,471,36,167,406464
286,2016,2,Central NY,Madison,ADULT,Health Home,471,61,431,192226
287,2016,2,Central NY,Madison,ADULT,Personalized Recovery Oriented Services,471,126,960,538534
288,2016,2,Central NY,Madison,ADULT,"Targeted Case Management (ICM, BCM, SCM)",471,1,1,456
289,2016,2,Central NY,Madison,CHILD,Clinic Treatment,204,181,1632,251555
290,2016,2,Central NY,Madison,CHILD,"Targeted Case Management (ICM, BCM, SCM)",204,51,400,182370
291,2016,2,Central NY,Montgomery,ADULT,Clinic Treatment,1308,978,7390,388433
292,2016,2,Central NY,Montgomery,ADULT,Community Residence,1308,58,531,1213034
293,2016,2,Central NY,Montgomery,ADULT,Health Home,1308,95,614,297827
294,2016,2,Central NY,Montgomery,ADULT,Personalized Recovery Oriented Services,1308,228,2335,775884
295,2016,2,Central NY,Montgomery,ADULT,Psychiatric Inpatient,1308,204,1393,1007258
296,2016,2,Central NY,Montgomery,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1308,6,61,28282
297,2016,2,Central NY,Montgomery,CHILD,Clinic Treatment,352,301,2111,222537
298,2016,2,Central NY,Montgomery,CHILD,Community Residence,352,14,56,556067
299,2016,2,Central NY,Montgomery,CHILD,Health Home,352,2,7,3395
300,2016,2,Central NY,Montgomery,CHILD,"Targeted Case Management (ICM, BCM, SCM)",352,71,475,242214
301,2016,2,Central NY,Oneida,ADULT,Assertive Community Treatment,4334,199,1355,1753861
302,2016,2,Central NY,Oneida,ADULT,Clinic Treatment,4334,3124,23235,2938545
303,2016,2,Central NY,Oneida,ADULT,Community Residence,4334,232,1565,5751951
304,2016,2,Central NY,Oneida,ADULT,Continuing Day Treatment,4334,24,1121,33778
305,2016,2,Central NY,Oneida,ADULT,Health Home,4334,764,3368,1175432
306,2016,2,Central NY,Oneida,ADULT,Psychiatric Inpatient,4334,573,4075,2702126
307,2016,2,Central NY,Oneida,ADULT,"Targeted Case Management (ICM, BCM, SCM)",4334,8,62,36693
308,2016,2,Central NY,Oneida,CHILD,Clinic Treatment,2305,1877,16330,1794022
309,2016,2,Central NY,Oneida,CHILD,Community Residence,2305,13,49,47067
310,2016,2,Central NY,Oneida,CHILD,Health Home,2305,4,11,3839
311,2016,2,Central NY,Oneida,CHILD,Psychiatric Inpatient OMH,2305,443,10326,16480980
312,2016,2,Central NY,Oneida,CHILD,Residential Treatment Facility,2305,30,4932,2819384
